date,close,nn_prob
2020-01-02,324.87,0.000313
2020-01-03,322.41,0.000462
2020-01-06,323.64,0.001343
2020-01-07,322.73,0.004891
2020-01-08,324.45,0.001841
2020-01-09,326.65,0.005923
2020-01-10,325.71,0.010775
2020-01-13,327.95,0.018758
2020-01-14,327.45,0.019808
2020-01-15,328.19,0.019033
2020-01-16,330.92,0.026878
2020-01-17,331.95,0.00995
2020-01-21,331.3,0.025048
2020-01-22,331.34,0.041224
2020-01-23,331.72,0.016633
2020-01-24,328.77,0.011893
2020-01-27,323.5,0.05307
2020-01-28,326.89,0.029047
2020-01-29,326.62,0.053969
2020-01-30,327.68,0.018902
2020-01-31,321.73,0.277453
2020-02-03,324.12,0.479391
2020-02-04,329.06,0.406771
2020-02-05,332.86,0.310373
2020-02-06,333.98,0.481729
2020-02-07,332.2,0.441733
2020-02-10,334.68,0.537547
2020-02-11,335.26,0.527519
2020-02-12,337.42,0.597904
2020-02-13,337.06,0.667756
2020-02-14,337.6,0.712026
2020-02-18,336.73,0.735041
2020-02-19,338.34,0.76913
2020-02-20,336.95,0.752936
2020-02-21,333.48,0.785328
2020-02-24,322.42,0.888362
2020-02-25,312.65,0.939476
2020-02-26,311.5,0.918064
2020-02-27,297.51,0.968246
2020-02-28,296.26,0.725529
2020-03-02,309.09,0.811166
2020-03-03,300.24,0.981883
2020-03-04,312.86,0.968677
2020-03-05,302.46,0.994279
2020-03-06,297.46,0.994528
2020-03-09,274.23,0.999246
2020-03-10,288.42,0.987056
2020-03-11,274.36,0.998187
2020-03-12,248.11,0.999617
2020-03-13,269.32,0.954484
2020-03-16,239.85,0.998949
2020-03-17,252.8,0.941731
2020-03-18,240.0,0.950048
2020-03-19,240.51,0.781714
2020-03-20,228.8,0.852578
2020-03-23,222.95,0.343794
2020-03-24,243.15,0.066328
2020-03-25,246.79,0.033713
2020-03-26,261.2,0.07684
2020-03-27,253.42,0.158593
2020-03-30,261.65,0.510253
2020-03-31,257.75,0.429499
2020-04-01,246.15,0.228565
2020-04-02,251.83,0.134628
2020-04-03,248.19,0.186118
2020-04-06,264.86,0.090823
2020-04-07,265.13,0.165857
2020-04-08,274.03,0.190288
2020-04-09,278.2,0.187621
2020-04-13,275.66,0.320951
2020-04-14,283.79,0.251548
2020-04-15,277.76,0.282496
2020-04-16,279.1,0.316761
2020-04-17,286.64,0.32065
2020-04-20,281.59,0.344522
2020-04-21,273.04,0.398
2020-04-22,279.1,0.31238
2020-04-23,279.08,0.330497
2020-04-24,282.97,0.300083
2020-04-27,287.05,0.281235
2020-04-28,285.73,0.303038
2020-04-29,293.21,0.265127
2020-04-30,290.48,0.335757
2020-05-01,282.79,0.374654
2020-05-04,283.57,0.389804
2020-05-05,286.19,0.32886
2020-05-06,284.25,0.407927
2020-05-07,287.68,0.358421
2020-05-08,292.44,0.176453
2020-05-11,292.5,0.204938
2020-05-12,286.67,0.418411
2020-05-13,281.6,0.306578
2020-05-14,284.97,0.216414
2020-05-15,286.28,0.229264
2020-05-18,295.0,0.051125
2020-05-19,291.97,0.32761
2020-05-20,296.93,0.236708
2020-05-21,294.88,0.263422
2020-05-22,295.44,0.285643
2020-05-26,299.08,0.28818
2020-05-27,303.53,0.241286
2020-05-28,302.97,0.294014
2020-05-29,304.32,0.213754
2020-06-01,305.55,0.392279
2020-06-02,308.08,0.34532
2020-06-03,312.18,0.265407
2020-06-04,311.36,0.395143
2020-06-05,319.34,0.108732
2020-06-08,323.2,0.377414
2020-06-09,320.79,0.43278
2020-06-10,319.0,0.462267
2020-06-11,300.61,0.56964
2020-06-12,304.21,0.370033
2020-06-15,307.05,0.567368
2020-06-16,312.96,0.435181
2020-06-17,311.66,0.556663
2020-06-18,311.78,0.468869
2020-06-19,308.64,0.442053
2020-06-22,310.62,0.45128
2020-06-23,312.05,0.527964
2020-06-24,304.09,0.469503
2020-06-25,307.35,0.448878
2020-06-26,300.05,0.360064
2020-06-29,304.46,0.314146
2020-06-30,308.36,0.157141
2020-07-01,310.52,0.265833
2020-07-02,312.23,0.25535
2020-07-06,317.05,0.179559
2020-07-07,313.78,0.166069
2020-07-08,316.18,0.147308
2020-07-09,314.38,0.210665
2020-07-10,317.59,0.199414
2020-07-13,314.84,0.111288
2020-07-14,318.92,0.034808
2020-07-15,321.85,0.032547
2020-07-16,320.79,0.06446
2020-07-17,321.72,0.067127
2020-07-20,324.32,0.048863
2020-07-21,325.01,0.046573
2020-07-22,326.86,0.033507
2020-07-23,322.96,0.112134
2020-07-24,320.88,0.099286
2020-07-27,323.22,0.259987
2020-07-28,321.17,0.176547
2020-07-29,325.12,0.079203
2020-07-30,323.96,0.068994
2020-07-31,326.52,0.008543
2020-08-03,328.79,0.031207
2020-08-04,330.06,0.031957
2020-08-05,332.11,0.021664
2020-08-06,334.33,0.023514
2020-08-07,334.57,0.016452
2020-08-10,335.57,0.024194
2020-08-11,332.8,0.022348
2020-08-12,337.44,0.017886
2020-08-13,336.83,0.045128
2020-08-14,336.84,0.056299
2020-08-17,337.91,0.03091
2020-08-18,338.64,0.026353
2020-08-19,337.23,0.016281
2020-08-20,338.28,0.033768
2020-08-21,339.48,0.049745
2020-08-24,342.92,0.042159
2020-08-25,344.12,0.154559
2020-08-26,347.57,0.088136
2020-08-27,348.33,0.109508
2020-08-28,350.58,0.177041
2020-08-31,349.31,0.187747
2020-09-01,352.6,0.209179
2020-09-02,357.7,0.191004
2020-09-03,345.39,0.246528
2020-09-04,342.57,0.477354
2020-09-08,333.21,0.816302
2020-09-09,339.79,0.597966
2020-09-10,333.89,0.87145
2020-09-11,334.06,0.77145
2020-09-14,338.46,0.672626
2020-09-15,340.17,0.817463
2020-09-16,338.82,0.661277
2020-09-17,335.84,0.648338
2020-09-18,330.65,0.49883
2020-09-21,326.97,0.364465
2020-09-22,330.3,0.31306
2020-09-23,322.64,0.322109
2020-09-24,323.5,0.198486
2020-09-25,328.73,0.168118
2020-09-28,334.19,0.303007
2020-09-29,332.37,0.407894
2020-09-30,334.89,0.100201
2020-10-01,337.04,0.102718
2020-10-02,333.84,0.187564
2020-10-05,339.76,0.190871
2020-10-06,334.93,0.245147
2020-10-07,340.76,0.119663
2020-10-08,343.78,0.135202
2020-10-09,346.85,0.082018
2020-10-12,352.43,0.064079
2020-10-13,350.13,0.177137
2020-10-14,347.93,0.238748
2020-10-15,347.5,0.243139
2020-10-16,347.29,0.192238
2020-10-19,342.01,0.507615
2020-10-20,343.38,0.492567
2020-10-21,342.73,0.520444
2020-10-22,344.61,0.524231
2020-10-23,345.78,0.533228
2020-10-26,339.39,0.460513
2020-10-27,338.22,0.586345
2020-10-28,326.66,0.311366
2020-10-29,329.98,0.248527
2020-10-30,326.54,0.184471
2020-11-02,330.2,0.203962
2020-11-03,336.03,0.209275
2020-11-04,343.54,0.086222
2020-11-05,350.24,0.23292
2020-11-06,350.16,0.309296
2020-11-09,354.56,0.031923
2020-11-10,354.04,0.340606
2020-11-11,356.67,0.34548
2020-11-12,353.21,0.427422
2020-11-13,358.1,0.273542
2020-11-16,362.57,0.299727
2020-11-17,360.62,0.329037
2020-11-18,356.28,0.460195
2020-11-19,357.78,0.30102
2020-11-20,355.33,0.390911
2020-11-23,357.46,0.366926
2020-11-24,363.22,0.113438
2020-11-25,362.66,0.217805
2020-11-27,363.67,0.174578
2020-11-30,362.06,0.075507
2020-12-01,366.02,0.072086
2020-12-02,366.79,0.104465
2020-12-03,366.69,0.062529
2020-12-04,369.85,0.030582
2020-12-07,369.09,0.054513
2020-12-08,370.17,0.049162
2020-12-09,366.85,0.056395
2020-12-10,366.73,0.087468
2020-12-11,366.3,0.112063
2020-12-14,364.66,0.085396
2020-12-15,369.59,0.019052
2020-12-16,370.17,0.035808
2020-12-17,372.24,0.030322
2020-12-18,369.18,0.004278
2020-12-21,367.86,0.046755
2020-12-22,367.24,0.431445
2020-12-23,367.57,0.463175
2020-12-24,369.0,0.536526
2020-12-28,372.17,0.147691
2020-12-29,371.46,0.12734
2020-12-30,371.99,0.097005
2020-12-31,373.88,0.027146
2021-01-04,368.79,0.080184
2021-01-05,371.33,0.169616
2021-01-06,373.55,0.008983
2021-01-07,379.1,0.023925
2021-01-08,381.26,0.043741
2021-01-11,378.69,0.13943
2021-01-12,378.77,0.139856
2021-01-13,379.79,0.229816
2021-01-14,378.46,0.39863
2021-01-15,375.7,0.154293
2021-01-19,378.65,0.373549
2021-01-20,383.89,0.077646
2021-01-21,384.24,0.169155
2021-01-22,382.88,0.129166
2021-01-25,384.39,0.067118
2021-01-26,383.79,0.122187
2021-01-27,374.41,0.059498
2021-01-28,377.63,0.071587
2021-01-29,370.07,0.053763
2021-02-01,376.23,0.136786
2021-02-02,381.55,0.146843
2021-02-03,381.85,0.182351
2021-02-04,386.19,0.119719
2021-02-05,387.71,0.158876
2021-02-08,390.51,0.145647
2021-02-09,390.25,0.227847
2021-02-10,390.08,0.131086
2021-02-11,390.71,0.185776
2021-02-12,392.64,0.133746
2021-02-16,392.3,0.137395
2021-02-17,392.39,0.12024
2021-02-18,390.72,0.177765
2021-02-19,390.03,0.186434
2021-02-22,387.03,0.552284
2021-02-23,387.5,0.233654
2021-02-24,391.77,0.447845
2021-02-25,382.33,0.420124
2021-02-26,380.36,0.232339
2021-03-01,389.58,0.381962
2021-03-02,386.54,0.620492
2021-03-03,381.42,0.599542
2021-03-04,376.7,0.197425
2021-03-05,383.63,0.228456
2021-03-08,381.72,0.555496
2021-03-09,387.17,0.375791
2021-03-10,389.58,0.458079
2021-03-11,393.53,0.506797
2021-03-12,394.06,0.559126
2021-03-15,396.41,0.461157
2021-03-16,395.91,0.533547
2021-03-17,397.26,0.446261
2021-03-18,391.48,0.544907
2021-03-19,389.48,0.450137
2021-03-22,392.59,0.498382
2021-03-23,389.5,0.459429
2021-03-24,387.52,0.329169
2021-03-25,389.7,0.101584
2021-03-26,395.98,0.030027
2021-03-29,395.78,0.057386
2021-03-30,394.73,0.094885
2021-03-31,396.33,0.036301
2021-04-01,400.61,0.038805
2021-04-05,406.36,0.029783
2021-04-06,406.12,0.051592
2021-04-07,406.59,0.048007
2021-04-08,408.52,0.034064
2021-04-09,411.49,0.024402
2021-04-12,411.64,0.029869
2021-04-13,412.86,0.021316
2021-04-14,411.45,0.02592
2021-04-15,415.87,0.013469
2021-04-16,417.26,0.014482
2021-04-19,415.21,0.027966
2021-04-20,412.17,0.036381
2021-04-21,416.07,0.047697
2021-04-22,412.27,0.040635
2021-04-23,416.74,0.04764
2021-04-26,417.61,0.05446
2021-04-27,417.52,0.063025
2021-04-28,417.4,0.085402
2021-04-29,420.06,0.05356
2021-04-30,417.3,0.097038
2021-05-03,418.2,0.067758
2021-05-04,415.62,0.070881
2021-05-05,415.75,0.232776
2021-05-06,419.07,0.073116
2021-05-07,422.12,0.036899
2021-05-10,417.94,0.176913
2021-05-11,414.21,0.106495
2021-05-12,405.41,0.078207
2021-05-13,410.28,0.08862
2021-05-14,416.58,0.148023
2021-05-17,415.52,0.39145
2021-05-18,411.94,0.52691
2021-05-19,410.86,0.101565
2021-05-20,415.28,0.150603
2021-05-21,414.94,0.185694
2021-05-24,419.17,0.1251
2021-05-25,418.24,0.126758
2021-05-26,419.07,0.098603
2021-05-27,419.29,0.064266
2021-05-28,420.04,0.035228
2021-06-01,419.67,0.047278
2021-06-02,420.33,0.02792
2021-06-03,418.77,0.053353
2021-06-04,422.6,0.017636
2021-06-07,422.19,0.026741
2021-06-08,422.28,0.031043
2021-06-09,421.65,0.0396
2021-06-10,423.61,0.027289
2021-06-11,424.31,0.023947
2021-06-14,425.26,0.0215
2021-06-15,424.48,0.019723
2021-06-16,422.11,0.014709
2021-06-17,421.97,0.008997
2021-06-18,414.92,0.011347
2021-06-21,420.86,0.023495
2021-06-22,423.11,0.053564
2021-06-23,422.6,0.073549
2021-06-24,425.1,0.061637
2021-06-25,426.61,0.067868
2021-06-28,427.47,0.061655
2021-06-29,427.7,0.181433
2021-06-30,428.06,0.069982
2021-07-01,430.43,0.055461
2021-07-02,433.72,0.047719
2021-07-06,432.93,0.048974
2021-07-07,434.46,0.059034
2021-07-08,430.92,0.04683
2021-07-09,435.52,0.03724
2021-07-12,437.08,0.111315
2021-07-13,435.59,0.147807
2021-07-14,436.24,0.127235
2021-07-15,434.75,0.224936
2021-07-16,431.34,0.243446
2021-07-19,424.97,0.02427
2021-07-20,431.06,0.039703
2021-07-21,434.55,0.164727
